,JournalID,VolumeID,volumeYear
0,ACM-CSUR,ACM-CSUR-Volume-1,2004
1,ACM-CSUR,ACM-CSUR-Volume-2,2005
2,ACM-CSUR,ACM-CSUR-Volume-3,2006
3,ACM-CSUR,ACM-CSUR-Volume-4,2007
4,ACM-CSUR,ACM-CSUR-Volume-5,2008
5,ACM-CSUR,ACM-CSUR-Volume-6,2009
6,ACM-CSUR,ACM-CSUR-Volume-7,2010
7,ACM-CSUR,ACM-CSUR-Volume-8,2011
8,ACM-CSUR,ACM-CSUR-Volume-9,2012
9,ACM-CSUR,ACM-CSUR-Volume-10,2013
10,ACM-TIST,ACM-TIST-Volume-1,2005
11,ACM-TIST,ACM-TIST-Volume-2,2006
12,ACM-TIST,ACM-TIST-Volume-3,2007
13,ACM-TIST,ACM-TIST-Volume-4,2008
14,ACM-TIST,ACM-TIST-Volume-5,2009
15,ACM-TIST,ACM-TIST-Volume-6,2010
16,ACM-TIST,ACM-TIST-Volume-7,2011
17,ACM-TIST,ACM-TIST-Volume-8,2012
18,ACM-TIST,ACM-TIST-Volume-9,2013
19,ACM-TIST,ACM-TIST-Volume-10,2014
20,AI,AI-Volume-1,2005
21,AI,AI-Volume-2,2006
22,AI,AI-Volume-3,2007
23,AI,AI-Volume-4,2008
24,AI,AI-Volume-5,2009
25,AI,AI-Volume-6,2010
26,AI,AI-Volume-7,2011
27,AI,AI-Volume-8,2012
28,AI,AI-Volume-9,2013
29,AI,AI-Volume-10,2014
30,IEEE-DS,IEEE-DS-Volume-1,2004
31,IEEE-DS,IEEE-DS-Volume-2,2005
32,IEEE-DS,IEEE-DS-Volume-3,2006
33,IEEE-DS,IEEE-DS-Volume-4,2007
34,IEEE-DS,IEEE-DS-Volume-5,2008
35,IEEE-DS,IEEE-DS-Volume-6,2009
36,IEEE-DS,IEEE-DS-Volume-7,2010
37,IEEE-DS,IEEE-DS-Volume-8,2011
38,IEEE-DS,IEEE-DS-Volume-9,2012
39,IEEE-DS,IEEE-DS-Volume-10,2013
40,IEEE-TKDE,IEEE-TKDE-Volume-1,1998
41,IEEE-TKDE,IEEE-TKDE-Volume-2,1999
42,IEEE-TKDE,IEEE-TKDE-Volume-3,2000
43,IEEE-TKDE,IEEE-TKDE-Volume-4,2001
44,IEEE-TKDE,IEEE-TKDE-Volume-5,2002
45,IEEE-TKDE,IEEE-TKDE-Volume-6,2003
46,IEEE-TKDE,IEEE-TKDE-Volume-7,2004
47,IEEE-TKDE,IEEE-TKDE-Volume-8,2005
48,IEEE-TKDE,IEEE-TKDE-Volume-9,2006
49,IEEE-TKDE,IEEE-TKDE-Volume-10,2007
50,IEEE-TPAMI,IEEE-TPAMI-Volume-1,2000
51,IEEE-TPAMI,IEEE-TPAMI-Volume-2,2001
52,IEEE-TPAMI,IEEE-TPAMI-Volume-3,2002
53,IEEE-TPAMI,IEEE-TPAMI-Volume-4,2003
54,IEEE-TPAMI,IEEE-TPAMI-Volume-5,2004
55,IEEE-TPAMI,IEEE-TPAMI-Volume-6,2005
56,IEEE-TPAMI,IEEE-TPAMI-Volume-7,2006
57,IEEE-TPAMI,IEEE-TPAMI-Volume-8,2007
58,IEEE-TPAMI,IEEE-TPAMI-Volume-9,2008
59,IEEE-TPAMI,IEEE-TPAMI-Volume-10,2009
60,IJCV,IJCV-Volume-1,1997
61,IJCV,IJCV-Volume-2,1998
62,IJCV,IJCV-Volume-3,1999
63,IJCV,IJCV-Volume-4,2000
64,IJCV,IJCV-Volume-5,2001
65,IJCV,IJCV-Volume-6,2002
66,IJCV,IJCV-Volume-7,2003
67,IJCV,IJCV-Volume-8,2004
68,IJCV,IJCV-Volume-9,2005
69,IJCV,IJCV-Volume-10,2006
70,JASA,JASA-Volume-1,1997
71,JASA,JASA-Volume-2,1998
72,JASA,JASA-Volume-3,1999
73,JASA,JASA-Volume-4,2000
74,JASA,JASA-Volume-5,2001
75,JASA,JASA-Volume-6,2002
76,JASA,JASA-Volume-7,2003
77,JASA,JASA-Volume-8,2004
78,JASA,JASA-Volume-9,2005
79,JASA,JASA-Volume-10,2006
80,JASIST,JASIST-Volume-1,2003
81,JASIST,JASIST-Volume-2,2004
82,JASIST,JASIST-Volume-3,2005
83,JASIST,JASIST-Volume-4,2006
84,JASIST,JASIST-Volume-5,2007
85,JASIST,JASIST-Volume-6,2008
86,JASIST,JASIST-Volume-7,2009
87,JASIST,JASIST-Volume-8,2010
88,JASIST,JASIST-Volume-9,2011
89,JASIST,JASIST-Volume-10,2012
90,JML,JML-Volume-1,2003
91,JML,JML-Volume-2,2004
92,JML,JML-Volume-3,2005
93,JML,JML-Volume-4,2006
94,JML,JML-Volume-5,2007
95,JML,JML-Volume-6,2008
96,JML,JML-Volume-7,2009
97,JML,JML-Volume-8,2010
98,JML,JML-Volume-9,2011
99,JML,JML-Volume-10,2012
100,JMLR,JMLR-Volume-1,1996
101,JMLR,JMLR-Volume-2,1997
102,JMLR,JMLR-Volume-3,1998
103,JMLR,JMLR-Volume-4,1999
104,JMLR,JMLR-Volume-5,2000
105,JMLR,JMLR-Volume-6,2001
106,JMLR,JMLR-Volume-7,2002
107,JMLR,JMLR-Volume-8,2003
108,JMLR,JMLR-Volume-9,2004
109,JMLR,JMLR-Volume-10,2005
110,MLJ,MLJ-Volume-1,2003
111,MLJ,MLJ-Volume-2,2004
112,MLJ,MLJ-Volume-3,2005
113,MLJ,MLJ-Volume-4,2006
114,MLJ,MLJ-Volume-5,2007
115,MLJ,MLJ-Volume-6,2008
116,MLJ,MLJ-Volume-7,2009
117,MLJ,MLJ-Volume-8,2010
118,MLJ,MLJ-Volume-9,2011
119,MLJ,MLJ-Volume-10,2012
120,TNNLS,TNNLS-Volume-1,1998
121,TNNLS,TNNLS-Volume-2,1999
122,TNNLS,TNNLS-Volume-3,2000
123,TNNLS,TNNLS-Volume-4,2001
124,TNNLS,TNNLS-Volume-5,2002
125,TNNLS,TNNLS-Volume-6,2003
126,TNNLS,TNNLS-Volume-7,2004
127,TNNLS,TNNLS-Volume-8,2005
128,TNNLS,TNNLS-Volume-9,2006
129,TNNLS,TNNLS-Volume-10,2007
130,TOIS,TOIS-Volume-1,1996
131,TOIS,TOIS-Volume-2,1997
132,TOIS,TOIS-Volume-3,1998
133,TOIS,TOIS-Volume-4,1999
134,TOIS,TOIS-Volume-5,2000
135,TOIS,TOIS-Volume-6,2001
136,TOIS,TOIS-Volume-7,2002
137,TOIS,TOIS-Volume-8,2003
138,TOIS,TOIS-Volume-9,2004
139,TOIS,TOIS-Volume-10,2005
140,TPAMI,TPAMI-Volume-1,2005
141,TPAMI,TPAMI-Volume-2,2006
142,TPAMI,TPAMI-Volume-3,2007
143,TPAMI,TPAMI-Volume-4,2008
144,TPAMI,TPAMI-Volume-5,2009
145,TPAMI,TPAMI-Volume-6,2010
146,TPAMI,TPAMI-Volume-7,2011
147,TPAMI,TPAMI-Volume-8,2012
148,TPAMI,TPAMI-Volume-9,2013
149,TPAMI,TPAMI-Volume-10,2014
